                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 1.2368,                0.75814,                 1.0697,                0.89176,                0.68743,                0.76089,                0.49957,                 1.1294,                0.64112,                 1.0177,              0.0050001,              0.0050001,              0.0050001
                     52,                 1.2299,                0.75237,                 1.0591,                0.89258,                0.68647,                0.76603,                 0.4983,                 1.1597,                0.64172,                 1.0293,               0.004843,               0.004843,               0.004843
                     53,                 1.2127,                0.73626,                 1.0582,                0.89636,                0.68973,                0.76989,                0.50396,                 1.1335,                0.60958,                 1.0182,              0.0046861,              0.0046861,              0.0046861
                     54,                  1.215,                0.74358,                 1.0568,                 0.8911,                0.69503,                0.77347,                0.50361,                 1.1485,                0.61458,                 1.0236,              0.0045295,              0.0045295,              0.0045295
                     55,                 1.2063,                0.71768,                 1.0544,                0.89042,                 0.6915,                0.77514,                0.51119,                 1.1217,                0.61055,                  1.016,              0.0043734,              0.0043734,              0.0043734
                     56,                 1.2012,                0.72248,                  1.058,                0.88217,                0.69946,                0.76708,                0.50314,                 1.1333,                0.62746,                 1.0127,              0.0042179,              0.0042179,              0.0042179
                     57,                  1.192,                0.71077,                 1.0513,                0.90202,                0.69208,                0.77475,                0.50929,                 1.1468,                0.60572,                 1.0223,              0.0040632,              0.0040632,              0.0040632
                     58,                 1.1949,                0.72122,                 1.0563,                0.89704,                0.70307,                0.77562,                0.50777,                 1.1214,                0.60001,                 1.0169,              0.0039093,              0.0039093,              0.0039093
                     59,                 1.1914,                0.70567,                 1.0514,                  0.899,                0.69713,                0.77506,                0.51313,                  1.112,                0.59309,                 1.0119,              0.0037566,              0.0037566,              0.0037566
                     60,                 1.1921,                0.69194,                 1.0503,                0.89875,                0.70103,                0.77471,                0.51163,                  1.101,                0.59351,                 1.0054,              0.0036051,              0.0036051,              0.0036051
